"error_name","SurveyorID","Submission.Id","Quad","Tag","StemTag","Species","QX","QY","DBH","Status.2020","HOM","Status.2021","DWR","Crown.position","Dead.crown.position","Dead.DBH","Percentage.of.crown.intact","Percentage.of.crown.living","Lean.angle.if.greater.than.15.degrees","Lianas","FAD","Wounded.main.stem","Canker..swelling..deformity","Rotting.trunk","Notes.2021","Crown.thinning","Epicormic.growth","EABF","D.shaped.exit.hole.count","Crown.position...10.cm.DBH"
"unhealthy_but_wrong_status","BC","4d97055f-b481-4cb4-a1f5-d615c5efcd87","1425","142367","1","qupr","16.3","0.6","133","PD","1.3","PD","False","1",NA,NA,0,0,20,"0","R",NA,NA,"2",NA,NA,NA,NA,NA,NA
"unhealthy_but_wrong_status","BC","4d97055f-b481-4cb4-a1f5-d615c5efcd87","1425","142370","1","pist","20","6.2","120","DS","1.3","PD","False","1",NA,NA,50,0,30,"0","DF",NA,NA,"1",NA,NA,NA,NA,NA,NA
"unhealthy_but_wrong_status","BC","4d97055f-b481-4cb4-a1f5-d615c5efcd87","1425","142568","1","quve","0.9","18.8","450","PD","1.3","PD","False","3",NA,NA,30,0,NA,"0","R",NA,NA,"2",NA,NA,NA,NA,NA,NA
"unhealthy_but_wrong_status","BC","76bf42a0-7081-47eb-a55b-6d1f870b41e5","1426","142573","1","nysy","4.8","2.6","105","PD","1.3","PD","False","1",NA,NA,0,0,NA,"0","W,B","3",NA,NA,NA,NA,NA,NA,NA,NA
"unhealthy_but_wrong_status","BC","f678ad22-f3c4-4b7f-9b19-1b043229994e","1427","142586","1","fram","1.2","16.5","70","DS","1.3","PD","False","1",NA,NA,0,0,NA,"0","I",NA,NA,NA,NA,"5","0","W,DE,VB",1,"S"
"unhealthy_but_wrong_status","BC","f678ad22-f3c4-4b7f-9b19-1b043229994e","1427","142605","1","qupr","18.4","7","535","PD","1.3","PD","False","3",NA,NA,30,0,NA,"0","DF,R",NA,NA,"2",NA,NA,NA,NA,NA,NA
"unhealthy_but_wrong_status","BC","d73bc09c-5186-43bd-9f59-6fbc252c58b5","1430","142718","1","fram","8.7","7.6","165","DS","1.3","PD","False","2",NA,NA,20,0,NA,"0","I",NA,NA,NA,NA,"5","0","W,AS,VB,DE",1,NA
"unhealthy_but_wrong_status","BC","c32cb267-3b1e-4936-a623-a0422943f4f6","1503","150748","1","ulru","5","7","228","PD","0.8","PD","False","2",NA,NA,80,0,NA,"0","DF",NA,NA,NA,NA,NA,NA,NA,NA,NA
"unhealthy_but_wrong_status","BC","4f6b740e-2dcc-474a-bb66-91841af40cef","1506","150798","2","nysy","5","0.3","NA","NA","1.3","PD","False","1",NA,NA,0,0,NA,"0","UP",NA,NA,NA,NA,NA,NA,NA,NA,NA
"unhealthy_but_wrong_status","BC","4f6b740e-2dcc-474a-bb66-91841af40cef","1506","150798","3","nysy","5","0.3","NA","PD","1.3","PD","False","1",NA,NA,0,0,NA,"0","UP",NA,NA,NA,NA,NA,NA,NA,NA,NA
"unhealthy_but_wrong_status","BC","4f6b740e-2dcc-474a-bb66-91841af40cef","1506","150798","3","nysy","5","0.3","NA","PD","1.3","PD","False","1",NA,NA,0,0,NA,"0","UP",NA,NA,NA,NA,NA,NA,NA,NA,NA
"unhealthy_but_wrong_status","BC","0af6ccca-bc07-4959-be42-5584e99b53ee","1513","151163","1","frni","17.1","16.1","212","PD","1.3","PD","False","1",NA,NA,0,0,NA,"0","I","3",NA,NA,NA,NA,NA,NA,NA,NA
"unhealthy_but_wrong_status","BC","7b8e0e06-438c-4edf-ac33-92fd20e353b2","1524","152478","1","fram","13.1","13.3","NA","PD","1.3","PD","False","1",NA,NA,NA,NA,NA,NA,"I",NA,NA,NA,NA,NA,NA,NA,NA,NA
"unhealthy_but_wrong_status","BC","0c7c25ce-7dac-47b4-891c-f79fbf66db60","1528","152610","1","fram","16","6.6","207","DS","1.3","PD","False","3",NA,NA,10,0,NA,"0","I",NA,NA,NA,NA,NA,NA,NA,NA,NA
"unhealthy_but_wrong_status","BC","0c7c25ce-7dac-47b4-891c-f79fbf66db60","1528","152612","1","fram","9.5","7.4","330","DS","1.3","PD","False","1",NA,NA,0,0,NA,"0","I","3",NA,NA,NA,"5","0","W",NA,NA
"unhealthy_but_wrong_status","BC","d49f96f8-a70b-471a-9a26-003100be520e","1529","152642","1","fram","9","8.6","237","DS","1.3","PD","False","1",NA,NA,30,0,NA,"4","I",NA,NA,NA,NA,"5","0","W,VB,DE",5,NA
"unhealthy_but_wrong_status","BC","032704b6-8889-4284-ac1a-56aad8f54939","1606","160907","1","fram","1.3","19.2","145","A","1.3","A","False","1",NA,NA,100,20,NA,"0","I",NA,NA,NA,NA,"5","4","SS,W",NA,NA
"epicormic_growth_but_not_AU","BC","032704b6-8889-4284-ac1a-56aad8f54939","1606","160907","1","fram","1.3","19.2","145","A","1.3","A","False","1",NA,NA,100,20,NA,"0","I",NA,NA,NA,NA,"5","4","SS,W",NA,NA
"unhealthy_but_wrong_status",NA,"2b719fce-b760-4b10-ab86-0036cb56e17e","201","20032","1","fram","37.4","8.5","NA","PD","1.3","PD","False","1",NA,NA,0,0,NA,"0","I",NA,NA,NA,NA,"5","0","VB,W,DE",3,NA
"unhealthy_but_wrong_status",NA,"2b719fce-b760-4b10-ab86-0036cb56e17e","201","20040","1","fram","32.1","12.7","274","PD","1.3","PD","False","2",NA,NA,0,0,NA,"0","I",NA,NA,NA,NA,"5","0","AS,W,VB",0,NA
"unhealthy_but_wrong_status",NA,"3be0bd40-0216-4628-a00b-d3adfd653a7a","202","20137","1","fram","21","34.9","775","PD","1.3","PD","False","4",NA,NA,0,0,NA,"0","I",NA,NA,NA,NA,"5","0","W,VB",0,NA
"unhealthy_but_wrong_status",NA,"b9d49f48-f61d-4ffe-8c85-b1c83aa6e822","203","20155","1","frni","38.4","40.4","NA","PD","1.3","PD","False","2",NA,NA,0,0,NA,"0","I",NA,NA,NA,NA,"5","0","none",NA,NA
