"tag","StemTag","sp","quadrat","gx","gy","dbh","hom","s14","s15","s16","s17","s18main","s18","s19","s20","status.2021","dendroband","above_50cm_dbh","oak","small_non_oak_no_dendro_random","cored_dead"
172151,1,"vipr","1722",321.4,434.8,109,"1.3","A","A","A","A","A","A","A","A","PD",0,0,0,0,0
172325,1,"fram","1721",339,411.9,799,"1.3","A","A","A","A","A","A","A","A","DS",0,1,0,0,0
150743,1,"fram","1503",281.2,49.8,129,"1.3","A","A","A","A","A","A","A","AU","DS",0,0,0,0,0
150756,1,"prse","1503",293.6,56.3,933,"1.3","A","A","A","A","D","A","AU","AU","DS",1,1,0,0,0
171481,1,"coal","1716",320.2,304.4,139,"1","A","A","A","AU","A","AU","A","AU","DC",0,0,0,0,0
80355,1,"saal","0807",148,124.1,188,"1.3","A","A","AU","AU","A","A","A","AU","PD",0,0,0,0,0
83628,1,"havi","0806",142.2,114.5,103,"1.3",NA,NA,NA,NA,"A",NA,"A","AU","PD",0,0,0,0,0
80159,1,"quve","0803",154,48.3,280,"1.3","A","A","A","A","A","A","A","A","DS",0,0,1,0,0
70141,1,"qupr","0706",123.3,103.4,499,"1.3","A","A","AU","AU","A","A","A","AU","PD",0,0,1,0,0
70237,1,"saal","0703",136.3,43.6,350,"1.3","A","A","A","A","A","A","A","AU","DC",0,0,0,0,0
60252,1,"cagl","0604",106.5,60.2,195,"1.2","A","A","A","A","A","A","A","AU","DS",0,0,0,0,0
120261,1,"cofl","1201",224.5,11.5,116,"1.3","A","A","A","A","A","A","A","A","DS",0,0,0,0,0
140467,1,"quve","1404",262.1,78.5,1534,"1.3","A","A","A","A","A","A","AU","AU","DS",1,1,1,0,0
140456,1,"fram","1403",269.3,57.4,217,"1.3","A","A","A","A","A","A","AU","AU","PD",0,0,0,0,0
150785,1,"ulru","1505",281.1,85.9,135,"1.3","A","A","A","A","A","A","A","AU","DS",0,0,0,0,0
142649,1,"fram","1430",277.4,585.3,142,"1.3","A","A","A","A","A","A","A","AU","DS",0,0,0,0,0
