"survey_year","tag","StemTag","sp","genus","species","quadrat","gy","gx","ly","lx","last_main_census_dbh","last_main_census_agb_Mg","hom","ExactDate","timeint_days","previous_year_status","current_year_status","last_main_cenus_status","last_main_census_codes","cored","crown_position","crown_illumination","percent_of_crown_intact","score_crown_intact","percent_of_crown_living","score_crown_living","fad","liana_load","wounded_main_stem","rotting_trunk","canker_swelling_deformity","lean_angle_if_greater_than_15_degrees","dead_with_resprout","crown_position_if_dead","dbh_if_dead","agb_if_dead_Mg","sp_affected_by_eab","fraxinus_eabf","fraxinus_D_shaped_exit_hole_count","fraxinus_epicormic_growth","fraxinus_score_crown_living","surveyor","current_year_comment","previous_year_comment","submission_id"
2013,121466,1,"ulru","Ulmus","rubra","1216",316.7,230.9,NA,NA,NA,NA,0,2013-07-22,1711,"A","D",NA,"DC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
2013,121467,1,"acru","Acer","rubrum","1216",317.8,239.6,NA,NA,191.3,0.14,1.3,2013-07-22,1711,"A","A",NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
2013,121468,1,"ploc","Platanus","occidentalis","1216",319.2,239.2,NA,NA,211.7,0.18,1.3,2013-07-22,1711,"A","A",NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
2013,121469,1,"ulsp","Ulmus","sp","1216",319.7,228,NA,NA,NA,NA,0,2013-07-22,1711,"A","D",NA,"DS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
2013,122001,1,"unk","Unidentified","unk","1217",320.4,228.6,NA,NA,NA,NA,0,2013-07-22,1711,"D","D",NA,"DN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
2013,122002,1,"ulru","Ulmus","rubra","1217",323.2,228.9,NA,NA,NA,NA,0,2013-07-22,1711,"A","D",NA,"DS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
2013,122003,1,"prav","Prunus","avium","1217",323.9,233.4,NA,NA,225.1,0.2,1.3,2013-07-22,1711,"A","A",NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
2013,122004,1,"caco","Carya","cordiformis","1217",325.1,237,NA,NA,467.5,1.55,1.3,2013-07-22,1711,"A","A",NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
2013,122005,1,"fram","Fraxinus","americana","1217",329.1,230.3,NA,NA,598.2,2.67,1.3,2013-07-22,1711,"A","A",NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
2013,122006,1,"acru","Acer","rubrum","1217",328.3,229.9,NA,NA,395.9,0.91,1.3,2013-07-22,1711,"A","A",NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
